paises,regioes,continentes,Population (2020),Yearly Change,Net Change,Density (P/Km²),Land Area (Km²),Migrants (net),Fert. Rate,Med. Age,Urban Pop %,World Share
Cuba,Caribbean,Latin America and the Caribbean,11326616.0,-0.06,-6867.0,106.0,106440.0,-14400.0,1.6,42.0,78.0,0.15
Haiti,Caribbean,Latin America and the Caribbean,11402528.0,1.24,139451.0,414.0,27560.0,-35000.0,3.0,24.0,57.0,0.15
Dominican Republic,Caribbean,Latin America and the Caribbean,10847910.0,1.01,108952.0,225.0,48320.0,-30000.0,2.4,28.0,85.0,0.14
Puerto Rico,Caribbean,Latin America and the Caribbean,2860853.0,-2.47,-72555.0,323.0,8870.0,-97986.0,1.2,44.0,,0.04
Jamaica,Caribbean,Latin America and the Caribbean,2961167.0,0.44,12888.0,273.0,10830.0,-11332.0,2.0,31.0,55.0,0.04
Trinidad and Tobago,Caribbean,Latin America and the Caribbean,1399488.0,0.32,4515.0,273.0,5130.0,-800.0,1.7,36.0,52.0,0.02
Guadeloupe,Caribbean,Latin America and the Caribbean,400124.0,0.02,68.0,237.0,1690.0,-1440.0,2.2,44.0,,0.01
Martinique,Caribbean,Latin America and the Caribbean,375265.0,-0.08,-289.0,354.0,1060.0,-960.0,1.9,47.0,92.0,0.0
Bahamas,Caribbean,Latin America and the Caribbean,393244.0,0.97,3762.0,39.0,10010.0,1000.0,1.8,32.0,86.0,0.01
Barbados,Caribbean,Latin America and the Caribbean,287375.0,0.12,350.0,668.0,430.0,-79.0,1.6,40.0,31.0,0.0
Saint Lucia,Caribbean,Latin America and the Caribbean,183627.0,0.46,837.0,301.0,610.0,0.0,1.4,34.0,19.0,0.0
Curaçao,Caribbean,Latin America and the Caribbean,164093.0,0.41,669.0,370.0,444.0,515.0,1.8,42.0,89.0,0.0
Grenada,Caribbean,Latin America and the Caribbean,112523.0,0.46,520.0,331.0,340.0,-200.0,2.1,32.0,35.0,0.0
Aruba,Caribbean,Latin America and the Caribbean,106766.0,0.43,452.0,593.0,180.0,201.0,1.9,41.0,44.0,0.0
Antigua and Barbuda,Caribbean,Latin America and the Caribbean,97929.0,0.84,811.0,223.0,440.0,0.0,2.0,34.0,26.0,0.0
Dominica,Caribbean,Latin America and the Caribbean,71986.0,0.25,178.0,96.0,750.0,,,,74.0,0.0
Cayman Islands,Caribbean,Latin America and the Caribbean,65722.0,1.19,774.0,274.0,240.0,,,,97.0,0.0
Sint Maarten,Caribbean,Latin America and the Caribbean,42876.0,1.15,488.0,1261.0,34.0,,,,96.0,0.0
Saint Martin,Caribbean,Latin America and the Caribbean,38666.0,1.75,664.0,730.0,53.0,,,,0.0,0.0
British Virgin Islands,Caribbean,Latin America and the Caribbean,30231.0,0.67,201.0,202.0,150.0,,,,52.0,0.0
Caribbean Netherlands,Caribbean,Latin America and the Caribbean,26223.0,0.94,244.0,80.0,328.0,,,,75.0,0.0
Anguilla,Caribbean,Latin America and the Caribbean,15003.0,0.9,134.0,167.0,90.0,,,,,0.0
Montserrat,Caribbean,Latin America and the Caribbean,4992.0,0.06,3.0,50.0,100.0,,,,10.0,0.0
United States,Northern America,Northern America,331002651.0,0.59,1937734.0,36.0,9147420.0,954806.0,1.8,38.0,83.0,4.25
Canada,Northern America,Northern America,37742154.0,0.89,331107.0,4.0,9093510.0,242032.0,1.5,41.0,81.0,0.48
